Journal,Title,Link,Authors,Keywords
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",Cost-effective IE2 high-efficiency single-phase induction motor design and prototyping,https://doaj.org/article/1ff4546ca7a14995871256704371b328,"Ufuk Muhammed Deveci,; Engin Ayçiçek","Single phase induction motor,; IE2 Efficiency,; Parametric analysis,; Winding optimization"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",Enhanced fault diagnosis of rolling bearings using attention-augmented separable residual networks,https://doaj.org/article/3cf60a81e60b46f2b3b34c40300a463b,"Chuang Liang,; Xuelin Mu,; Xiaoguang Zhang,; Fanfan Lu,; Chengcheng Wang,; Yubo Shao","Fault diagnosis,; Residual networks,; Separable convolution,; Rolling bearings"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",Sample selection using multi-task autoencoders in federated learning with non-IID data,https://doaj.org/article/a5c0f92646ea4eb28c40add5106c9ad2,"Emre Ardıç,; Yakup Genç","Federated learning,; Data valuation,; Unsupervised outlier detection,; Multi-task autoencoder"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (JAN 2025)",State-of-the-art review of contact and friction analysis with a spherical hinge and structural stability research on horizontal rotating bridges,https://doaj.org/article/fab279d98c314faea910a715a71842d0,"Yuanxun Zheng,; Shuaijie Zhang,; Junjie Ma,; Meng Sun,; Jingjiang Wu","Rotating bridge,; Spherical hinge,; Elasticity theory,; Contact stress,; Friction moment,; Stability analysis"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Front Matter 1 - Full Title Page (regular issues)/Special Issue Title page (special issues),https://doaj.org/article/bdde6604546e482d87feb59edd57d9ab,No authors listed,Technology: Engineering (General). Civil engineering (General)
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Editorial Board,https://doaj.org/article/92bb3392aae44cef86d3c813bd990a29,No authors listed,Technology: Engineering (General). Civil engineering (General)
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Objective-based survival individual enhancement in the chimp optimization algorithm for the profit prediction using financial accounting information system,https://doaj.org/article/03c977262255460b888edd18d98ce3cd,"Guomeng Zhao,; Diego Martín,; Mohammad Khishe,; Leren Qian,; Pradeep Jangir","Optimization,; Profit prediction,; Financial accounting,; Deep learning"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",LightYOLO: Lightweight model based on YOLOv8n for defect detection of ultrasonically welded wire terminations,https://doaj.org/article/62691ef5cf394f39bb835226a96bee93,"Jianshu Xu,; Lun Zhao,; Yu Ren,; Zhigang Li,; Zeshan Abbas,; Lan Zhang,; Md Shafiqul Islam","Ultrasonic metal welding,; Deep learning,; Object detection,; Lightweight"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",Prediction and optimization of electrical resistivity and unconfined compressive strength of cement-treated subgrade soil using I-optimal response surface methodology,https://doaj.org/article/d9c53aa08b434307962d593362636d2c,"Frank Siaw Ackah,; Richmond Owusu,; Yuanjie Xiao,; Joseph Ali","Subgrade soil,; Cement stabilization,; Electrical resistivity,; I-optimal response surface methodology,; Compaction quality control"
"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL (DEC 2024)",1D model and rule-based calibration strategy to improve the performance of a turbocharged spark ignition engine over the whole engine map,https://doaj.org/article/cff7cef279a84cbea5f41240029cc7d5,"Dino Pirrello,; Luigi Teodosio,; Fabio Berni","SI engine,; 1D simulation,; Calibration strategy,; Engine redesign,; Performance,; Cyclic variability"
