Keyword,Frequency
engin;,877
civil;,434
(general),434
technology:;,434
(general).;,434
power;,91
heat;,75
"control,;",71
"optimization,;",57
and;,56
"algorithm,;",55
optim;,54
"system,;",50
"learning,;",43
"analysis,;",42
energi;,41
of;,40
neural;,40
fuzzi;,35
distribut;,35
electr;,33
surfac;,32
"network,;",32
thermal;,31
"flow,;",31
gener;,30
control;,29
artifici;,29
mechan;,28
imag;,28
"method,;",28
"properties,;",26
genet;,26
algorithm,25
"controller,;",25
deep;,25
"energy,;",24
solar;,24
network;,24
particl;,23
dynam;,23
hybrid;,23
optim,23
"model,;",23
magnet;,23
finit;,22
fraction;,22
induct;,22
"detection,;",21
analysi,21
"fluid,;",21
flow;,21
machin;,21
swarm;,21
"transfer,;",21
algorithm;,20
search;,20
activ;,19
model,19
"nanofluid,;",19
system;,19
fault;,19
wind;,19
adapt;,18
"filter,;",17
"design,;",17
"networks,;",17
"transform,;",17
friction;,16
high;,16
phase;,16
"logic,;",16
"systems,;",16
voltag;,16
automat;,16
"generation,;",16
natur;,15
"welding,;",15
frequenc;,15
signal;,15
system,15
materi;,15
base;,15
discret;,15
order;,15
"antenna,;",15
chemic;,15
"classification,;",15
network,15
"wear,;",14
numer;,14
speed;,14
porou;,14
slide;,14
dc;,14
"composites,;",14
"convection,;",14
element;,14
torqu;,13
mode;,13
"efficiency,;",13
"composite,;",13
metal;,13
renew;,13
softwar;,13
water;,13
"modeling,;",13
"testing,;",12
data;,12
mass;,12
transfer;,12
"ratio,;",12
"steel,;",12
mix;,12
perform;,12
"effect,;",12
"materials,;",12
"motor,;",11
respons;,11
integr;,11
binari;,11
pid;,11
"alloy,;",11
qualiti;,11
"performance,;",11
control,11
bee;,11
compress;,11
digit;,11
grey;,11
logic;,11
matrix;,11
"algorithms,;",11
wavelet;,11
load;,11
vehicl;,11
time;,11
stabil;,10
variabl;,10
maximum;,10
method;,10
linear;,10
"diagnosis,;",10
state;,10
function;,10
3d;,10
–;,10
"machining,;",10
multipl;,10
"roughness,;",10
differenti;,10
multi-object;,10
current;,10
"index,;",10
method,10
modifi;,10
"search,;",10
"estimation,;",10
vector;,10
fourier;,10
free;,9
"computing,;",9
low;,9
curv;,9
"material,;",9
learn;,9
"simulation,;",9
radial;,9
"management,;",9
"recognition,;",9
synchron;,9
grade;,9
"test,;",9
photovolta;,9
vibrat;,9
channel;,9
"mhd,;",9
volum;,9
steel;,9
wireless;,9
to;,9
"converter,;",9
discharg;,9
"prediction,;",8
decis;,8
firefli;,8
transform;,8
"field,;",8
transmiss;,8
"monitoring,;",8
medic;,8
"modelling,;",8
"process,;",8
"radiation,;",8
remov;,8
coloni;,8
air;,8
"medium,;",8
"alloys,;",8
"engine,;",8
"synthesis,;",8
"machines,;",8
regress;,8
"microstructure,;",8
engin,8
motion;,8
"beam,;",8
"effects,;",8
"distribution,;",8
"security,;",8
"structure,;",8
point;,8
sustain;,7
"problem,;",7
local;,7
design,7
concret;,7
solut,7
unsteadi;,7
reson;,7
parallel;,7
reactiv;,7
"reaction,;",7
squar;,7
rate;,7
"tracking,;",7
wast;,7
"quality,;",7
seri;,7
harmon;,7
batteri;,7
"coating,;",7
continu;,7
stainless;,7
cut;,7
"processing,;",7
"vibration,;",7
"rate,;",7
solid;,7
fuel;,7
convolut;,7
microstrip;,7
"coefficient,;",7
tensil;,7
wire;,7
design;,7
"power,;",7
posit;,7
green;,7
"segmentation,;",7
"machine,;",7
dual;,7
smart;,7
failur;,7
stretch;,7
"technique,;",7
"theory,;",7
electromagnet;,7
mobil;,7
"extraction,;",7
"motion,;",6
storag;,6
vertic;,6
viscou;,6
non-uniform;,6
"surface,;",6
"allocation,;",6
"inverter,;",6
proport;,6
polym;,6
econom;,6
electron;,6
wolf;,6
weld;,6
"equation,;",6
ac;,6
"loading,;",6
optic;,6
in;,6
"friction,;",6
structur;,6
carbon;,6
"nanoparticles,;",6
interconnect;,6
"robot,;",6
robust;,6
convers;,6
"intelligence,;",6
charg;,6
fluid;,6
combinatori;,6
brake;,6
"generator,;",6
temperatur;,6
geometr;,6
perform,6
inform;,6
"stability,;",6
direct;,6
"source,;",6
micro;,6
"circuit,;",6
commun;,6
"strength,;",6
filter;,6
learn,6
gener,6
process;,6
area;,6
ground;,6
"fiber,;",6
taguchi;,6
suspens;,6
cloud;,6
"pump,;",6
least;,6
stabil,6
doubl;,6
"turning,;",6
"cavity,;",6
elast;,6
grid;,6
modul;,6
detect;,6
"sensing,;",6
effici,6
skin;,6
nonlinear;,6
wave;,6
sensit;,6
dielectr;,5
composit;,5
"(agc),;",5
"fem,;",5
"programming,;",5
constraint;,5
"authentication,;",5
build;,5
"techniques,;",5
modular;,5
parametr;,5
emiss;,5
process,5
"voltage,;",5
loss,5
stir;,5
field;,5
combust;,5
"exchanger,;",5
commun,5
"ripple,;",5
multi;,5
recurr;,5
energi,5
total;,5
memori;,5
ga;,5
measur;,5
boundari;,5
"slip,;",5
grain;,5
"dispatch,;",5
shape;,5
"cfd,;",5
"mechanism,;",5
jet;,5
melt;,5
analyt;,5
spars;,5
motor;,5
"waste,;",5
"absorption,;",5
cross;,5
"capacity,;",5
herd;,5
link;,5
"grid,;",5
layer;,5
capacitor;,5
"observer,;",5
antenna;,5
error;,5
transit;,5
"behavior,;",5
intellig;,5
"cylinder,;",5
"dataset,;",5
patch;,5
larg;,5
remot;,5
comput;,5
circuit;,5
"technology,;",5
machin,5
wear,5
chaotic;,5
equival;,5
real;,5
loss;,5
test;,5
weight;,5
ultrason;,5
"plate,;",5
shear;,5
human;,5
antenna,5
"emission,;",5
frequenc,5
"fpga,;",5
"manufacturing,;",5
featur;,5
"graph,;",5
turbul;,5
fast;,5
"force,;",5
"reliability,;",5
properti,5
wear;,5
fli;,5
number,5
"motors,;",5
"measurement,;",5
"placement,;",5
"factor,;",5
"reduction,;",5
entropi;,5
"scheduling,;",5
multilevel;,5
experiment;,5
singl;,5
node;,5
cuckoo;,5
sensor;,5
mhd;,5
virtual;,5
object;,5
casson;,5
cosin;,5
gate;,5
gradient;,5
"conductivity,;",5
"methodology,;",5
"planning,;",5
harmoni;,5
track;,5
space;,4
"taguchi,;",4
relat;,4
"(pso),;",4
"adder,;",4
"combustion,;",4
perman;,4
"comparison,;",4
"conditions,;",4
"biodiesel,;",4
minim;,4
"structures,;",4
size;,4
classif,4
dimension;,4
model;,4
"recovery,;",4
contact;,4
"stress,;",4
new;,4
exact;,4
multi-sourc;,4
acceler;,4
"ash,;",4
construct;,4
fiber;,4
"tribology,;",4
unit;,4
dead;,4
"approach,;",4
region;,4
fatigu;,4
with;,4
"temperature,;",4
"map,;",4
non-linear;,4
wall;,4
"parameter,;",4
radiat;,4
"location,;",4
"assessment,;",4
unifi;,4
oxid;,4
extend;,4
puls;,4
"parameters,;",4
statist;,4
"regression,;",4
"soil,;",4
residu;,4
transform,4
static;,4
reinforc;,4
"compensator,;",4
graphen;,4
video;,4
"battery,;",4
revers;,4
bit;,4
"dissipation,;",4
level;,4
qualiti,4
"geometry,;",4
array;,4
paramet,4
monopol;,4
copper;,4
search,4
lane;,4
convect;,4
feed;,4
triangular;,4
a;,4
"loop,;",4
mean;,4
laminar;,4
"array,;",4
industri;,4
imped;,4
defin;,4
"processor,;",4
abras;,4
simul;,4
bear;,4
aisi;,4
invert;,4
"anova,;",4
"forecasting,;",4
"tree,;",4
servic;,4
support;,4
hardwar;,4
yield;,4
cost;,4
complex;,4
"loss,;",4
transfer,4
asymmetr;,4
lock;,4
interpol;,4
"waves,;",4
effect,4
stress;,4
text;,4
silicon;,4
